alpha.air_average,Points:0,Points:1,Points:2
0.663255,0.12,0.24,0
0.646072,0.13,0.24,0
0.630883,0.14,0.24,0
0.622096,0.15,0.24,0
0.617439,0.16,0.24,0
0.617706,0.17,0.24,0
0.630094,0.18,0.24,0
0.648584,0.19,0.24,0
0.662184,0.2,0.24,0
0.65877,0.21,0.24,0
0.637745,0.22,0.24,0
0.613746,0.23,0.24,0
0.589499,0.24,0.24,0
0.574259,0.25,0.24,0
0.567848,0.26,0.24,0
0.55183,0.27,0.24,0
0.54046,0.28,0.24,0
0.518469,0,0.25,0
0.527291,0.01,0.25,0
0.550097,0.02,0.25,0
0.582744,0.03,0.25,0
0.621712,0.04,0.25,0
0.658509,0.05,0.25,0
0.686153,0.06,0.25,0
0.706915,0.07,0.25,0
0.716971,0.08,0.25,0
0.711099,0.09,0.25,0
0.696206,0.1,0.25,0
0.678257,0.11,0.25,0
0.658618,0.12,0.25,0
0.639904,0.13,0.25,0
0.626472,0.14,0.25,0
0.623386,0.15,0.25,0
0.624033,0.16,0.25,0
0.624432,0.17,0.25,0
0.635485,0.18,0.25,0
0.654125,0.19,0.25,0
0.668544,0.2,0.25,0
0.6646,0.21,0.25,0
0.643581,0.22,0.25,0
0.619727,0.23,0.25,0
0.596376,0.24,0.25,0
0.584114,0.25,0.25,0
0.576279,0.26,0.25,0
0.558161,0.27,0.25,0
0.547005,0.28,0.25,0
0.512114,0,0.26,0
0.522636,0.01,0.26,0
0.543979,0.02,0.26,0
0.571426,0.03,0.26,0
0.609816,0.04,0.26,0
0.650695,0.05,0.26,0
0.67657,0.06,0.26,0
0.692197,0.07,0.26,0
0.70296,0.08,0.26,0
0.69809,0.09,0.26,0
0.684063,0.1,0.26,0
0.671634,0.11,0.26,0
0.656708,0.12,0.26,0
0.63811,0.13,0.26,0
0.626109,0.14,0.26,0
0.624982,0.15,0.26,0
0.629641,0.16,0.26,0
0.63616,0.17,0.26,0
0.648339,0.18,0.26,0
0.66312,0.19,0.26,0
0.669707,0.2,0.26,0
0.662445,0.21,0.26,0
0.646282,0.22,0.26,0
0.623989,0.23,0.26,0
0.60001,0.24,0.26,0
0.58736,0.25,0.26,0
0.5776,0.26,0.26,0
0.557264,0.27,0.26,0
0.544537,0.28,0.26,0
0.507952,0,0.27,0
0.519139,0.01,0.27,0
0.541229,0.02,0.27,0
0.565517,0.03,0.27,0
0.597849,0.04,0.27,0
0.637714,0.05,0.27,0
0.664676,0.06,0.27,0
0.676882,0.07,0.27,0
0.687638,0.08,0.27,0
0.688283,0.09,0.27,0
0.678721,0.1,0.27,0
0.671446,0.11,0.27,0
0.662585,0.12,0.27,0
0.645916,0.13,0.27,0
0.634134,0.14,0.27,0
0.633261,0.15,0.27,0
0.639639,0.16,0.27,0
0.650205,0.17,0.27,0
0.661966,0.18,0.27,0
0.671201,0.19,0.27,0
0.670561,0.2,0.27,0
0.660586,0.21,0.27,0
0.64471,0.22,0.27,0
0.61648,0.23,0.27,0
0.588761,0.24,0.27,0
0.577273,0.25,0.27,0
0.5694,0.26,0.27,0
0.549725,0.27,0.27,0
0.535563,0.28,0.27,0
0.507177,0,0.28,0
0.518335,0.01,0.28,0
0.540796,0.02,0.28,0
0.564442,0.03,0.28,0
0.59139,0.04,0.28,0
0.624779,0.05,0.28,0
0.653504,0.06,0.28,0
0.665678,0.07,0.28,0
0.674421,0.08,0.28,0
0.682595,0.09,0.28,0
0.681654,0.1,0.28,0
0.679335,0.11,0.28,0
0.674229,0.12,0.28,0
0.659086,0.13,0.28,0
0.648634,0.14,0.28,0
0.651451,0.15,0.28,0
0.658215,0.16,0.28,0
0.6651,0.17,0.28,0
0.67207,0.18,0.28,0
0.675977,0.19,0.28,0
0.670817,0.2,0.28,0
0.659058,0.21,0.28,0
0.6396,0.22,0.28,0
0.603732,0.23,0.28,0
0.573443,0.24,0.28,0
0.562349,0.25,0.28,0
0.553843,0.26,0.28,0
0.537201,0.27,0.28,0
0.525825,0.28,0.28,0
0.508939,0,0.29,0
0.519077,0.01,0.29,0
0.541242,0.02,0.29,0
0.565977,0.03,0.29,0
0.590811,0.04,0.29,0
0.618227,0.05,0.29,0
0.647003,0.06,0.29,0
0.662145,0.07,0.29,0
0.669021,0.08,0.29,0
0.680466,0.09,0.29,0
0.687158,0.1,0.29,0
0.688366,0.11,0.29,0
0.684586,0.12,0.29,0
0.671944,0.13,0.29,0
0.666109,0.14,0.29,0
0.672802,0.15,0.29,0
0.678289,0.16,0.29,0
0.679991,0.17,0.29,0
0.680417,0.18,0.29,0
0.678666,0.19,0.29,0
0.670067,0.2,0.29,0
0.655227,0.21,0.29,0
0.630731,0.22,0.29,0
0.59507,0.23,0.29,0
0.568986,0.24,0.29,0
0.55652,0.25,0.29,0
0.545259,0.26,0.29,0
0.532138,0.27,0.29,0
0.524936,0.28,0.29,0
0.513606,0,0.3,0
0.522614,0.01,0.3,0
0.545429,0.02,0.3,0
0.572453,0.03,0.3,0
0.597588,0.04,0.3,0
0.622747,0.05,0.3,0
0.650036,0.06,0.3,0
0.667216,0.07,0.3,0
0.672264,0.08,0.3,0
0.681472,0.09,0.3,0
0.691199,0.1,0.3,0
0.695022,0.11,0.3,0
0.693138,0.12,0.3,0
0.68426,0.13,0.3,0
0.682427,0.14,0.3,0
0.688976,0.15,0.3,0
0.692914,0.16,0.3,0
0.692749,0.17,0.3,0
0.687866,0.18,0.3,0
0.680397,0.19,0.3,0
0.667264,0.2,0.3,0
0.647906,0.21,0.3,0
0.621793,0.22,0.3,0
0.594467,0.23,0.3,0
0.575621,0.24,0.3,0
0.5602,0.25,0.3,0
0.547372,0.26,0.3,0
0.537574,0.27,0.3,0
