alpha.air_average,Points:0,Points:1,Points:2
0.723411,0.06,0.19,0
0.724597,0.07,0.19,0
0.721115,0.08,0.19,0
0.717656,0.09,0.19,0
0.709854,0.1,0.19,0
0.7009,0.11,0.19,0
0.690179,0.12,0.19,0
0.678319,0.13,0.19,0
0.67799,0.14,0.19,0
0.690465,0.15,0.19,0
0.707571,0.16,0.19,0
0.725464,0.17,0.19,0
0.742594,0.18,0.19,0
0.754723,0.19,0.19,0
0.759348,0.2,0.19,0
0.759366,0.21,0.19,0
0.751721,0.22,0.19,0
0.720101,0.23,0.19,0
0.664143,0.24,0.19,0
0.600538,0.25,0.19,0
0.554412,0.26,0.19,0
0.527386,0.27,0.19,0
0.514119,0.28,0.19,0
0.535847,0,0.2,0
0.543152,0.01,0.2,0
0.568692,0.02,0.2,0
0.60963,0.03,0.2,0
0.652822,0.04,0.2,0
0.688355,0.05,0.2,0
0.711918,0.06,0.2,0
0.72049,0.07,0.2,0
0.720833,0.08,0.2,0
0.721633,0.09,0.2,0
0.715557,0.1,0.2,0
0.705222,0.11,0.2,0
0.694977,0.12,0.2,0
0.686636,0.13,0.2,0
0.691705,0.14,0.2,0
0.706111,0.15,0.2,0
0.721215,0.16,0.2,0
0.737437,0.17,0.2,0
0.756151,0.18,0.2,0
0.768114,0.19,0.2,0
0.767031,0.2,0.2,0
0.761277,0.21,0.2,0
0.747149,0.22,0.2,0
0.712172,0.23,0.2,0
0.65989,0.24,0.2,0
0.599522,0.25,0.2,0
0.554928,0.26,0.2,0
0.530896,0.27,0.2,0
0.519707,0.28,0.2,0
0.538409,0,0.21,0
0.547142,0.01,0.21,0
0.567814,0.02,0.21,0
0.600423,0.03,0.21,0
0.638634,0.04,0.21,0
0.672134,0.05,0.21,0
0.702223,0.06,0.21,0
0.718756,0.07,0.21,0
0.722603,0.08,0.21,0
0.726827,0.09,0.21,0
0.718547,0.1,0.21,0
0.703668,0.11,0.21,0
0.69417,0.12,0.21,0
0.690802,0.13,0.21,0
0.701329,0.14,0.21,0
0.716385,0.15,0.21,0
0.731439,0.16,0.21,0
0.748012,0.17,0.21,0
0.76672,0.18,0.21,0
0.778574,0.19,0.21,0
0.77674,0.2,0.21,0
0.76833,0.21,0.21,0
0.748568,0.22,0.21,0
0.711347,0.23,0.21,0
0.658129,0.24,0.21,0
0.597557,0.25,0.21,0
0.556771,0.26,0.21,0
0.537092,0.27,0.21,0
0.528313,0.28,0.21,0
0.533901,0,0.22,0
0.547175,0.01,0.22,0
0.57107,0.02,0.22,0
0.600755,0.03,0.22,0
0.635718,0.04,0.22,0
0.669721,0.05,0.22,0
0.702793,0.06,0.22,0
0.72333,0.07,0.22,0
0.730067,0.08,0.22,0
0.730119,0.09,0.22,0
0.715521,0.1,0.22,0
0.6983,0.11,0.22,0
0.691462,0.12,0.22,0
0.694151,0.13,0.22,0
0.705884,0.14,0.22,0
0.717431,0.15,0.22,0
0.733159,0.16,0.22,0
0.751485,0.17,0.22,0
0.769967,0.18,0.22,0
0.78324,0.19,0.22,0
0.784188,0.2,0.22,0
0.776392,0.21,0.22,0
0.75627,0.22,0.22,0
0.717692,0.23,0.22,0
0.658633,0.24,0.22,0
0.595078,0.25,0.22,0
0.557497,0.26,0.22,0
0.54113,0.27,0.22,0
0.533637,0.28,0.22,0
0.526819,0,0.23,0
0.54215,0.01,0.23,0
0.569249,0.02,0.23,0
0.604277,0.03,0.23,0
0.642708,0.04,0.23,0
0.676306,0.05,0.23,0
0.706442,0.06,0.23,0
0.728251,0.07,0.23,0
0.736309,0.08,0.23,0
0.725291,0.09,0.23,0
0.703967,0.1,0.23,0
0.689865,0.11,0.23,0
0.689729,0.12,0.23,0
0.695943,0.13,0.23,0
0.701788,0.14,0.23,0
0.707717,0.15,0.23,0
0.724635,0.16,0.23,0
0.745943,0.17,0.23,0
0.765354,0.18,0.23,0
0.780656,0.19,0.23,0
0.784513,0.2,0.23,0
0.778159,0.21,0.23,0
0.759914,0.22,0.23,0
0.719789,0.23,0.23,0
